Datum,Start,Einde,Plaats,Omschrijving
09/02/21,08:00,10:00,Contacturen,Git leren
10/02/21,08:00,10:00,Extern,Git leren
16/02/21,08:00,10:00,Contacturen,Git leren + debuggen
23/02/21,08:00,10:00,Contacturen,Brainstormen
27/02/21,14:00,14:45,Extern,Brainstormen top 3 algoritme
02/03/21,08:00,10:00,Contacturen,Keuze maken project + planning + kleine samenvatting
06/03/21,14:00,16:15,Extern,Algemene Brainstorming analyse + Use Cases maken
08/03/21,15:30,17:15,Extern,Klassediagram aanmaken
09/03/21,08:00,10:00,Contacturen,Bedrijfsbezoek
13/03/21,14:00,17:15,Extern,Sequentiediagram + Klassediagram aanpassen
16/03/21,08:00,10:15,Contacturen,Bewerken Klassendiagram + Uitleg Sequentiediagram
23/03/21,08:00,10:15,Contacturen,Start coderen Matrix klasse + canvas background
28/03/21,14:00,14:30,Extern,Taakverdeling + overlopen geschreven code
30/03/21,08:00,10:00,Contacturen,Bewerken OefeningPage
30/03/21,10:00,13:00,Extern,Werken aan Oefeningklassen + aanpassingen Matrix klasse
04/04/21,14:00,16:00,Extern,Afspraken maken met groep
05/04/21,12:00,13:30,Extern,Oplossing zoeken OefeningPage
05/04/21,13:30,18:30,Extern,Afwerken OefeningPage + afwerken VermenigvuldigOefening + debuggen
06/04/21,13:00,14:00,Extern,Bespreken vooruitgang + deadlines opstellen
10/04/21,12:30,17:30,Extern,Aanpassingen InverseOefeningen
